metric,trial,measured,ground_truth,error,unit,pass,notes
bringup_topic_presence,/scan,1.0,1.0,0.0,bool,True,
bringup_topic_presence,/imu/data,1.0,1.0,0.0,bool,True,
bringup_topic_presence,/odom,1.0,1.0,0.0,bool,True,
bringup_topic_presence,/line_sensors,1.0,1.0,0.0,bool,True,
bringup_topic_presence,/gas_sensor,1.0,1.0,0.0,bool,True,
bringup_topic_presence,/rgb/image_raw,1.0,1.0,0.0,bool,True,
topic_hz,/scan,7.497346418403588,8.0,-0.5026535815964124,Hz,False,
topic_hz,/imu/data,100.55683721222515,50.0,50.55683721222515,Hz,True,
lidar_distance,0.50m,0.5853333473205566,0.5,0.08533334732055664,m,False,
lidar_distance,1.00m,0.5839999914169312,1.0,0.41600000858306885,m,False,
lidar_distance,1.50m,0.5839999914169312,1.5,0.9160000085830688,m,False,
lidar_distance,2.00m,0.5839999914169312,2.0,1.4160000085830688,m,False,
lidar_rmse,all,0.8695472711902266,0.02,0.8495472711902265,m,False,
imu_bias_z,1000_samples,-2.3502892513991532e-05,0.0,2.3502892513991532e-05,rad/s,True,
imu_drift_deg_per_min,1000_samples,0.08079699284407992,0.5,-0.41920300715592007,deg/min,True,
